Series;Time;Value
Avg processor CPU;2017-02-06T14:00:00.000Z;4.502463334798813
Avg processor CPU;2017-02-06T14:10:00.000Z;4.780108246207238
Avg processor CPU;2017-02-06T14:20:00.000Z;4.853192661205927
Avg processor CPU;2017-02-06T14:30:00.000Z;4.294671075542768
Avg processor CPU;2017-02-06T14:40:00.000Z;4.742989026506741
Avg processor CPU;2017-02-06T14:50:00.000Z;4.717415643731753
Avg processor CPU;2017-02-06T15:00:00.000Z;4.42007866203785
Avg processor CPU;2017-02-06T15:10:00.000Z;4.718690861264864
Avg processor CPU;2017-02-06T15:20:00.000Z;4.780442116657893
Avg processor CPU;2017-02-06T15:30:00.000Z;4.275037290652593
Avg processor CPU;2017-02-06T15:40:00.000Z;4.8355557978153225
Avg processor CPU;2017-02-06T15:50:00.000Z;4.862646848956744
Avg processor CPU;2017-02-06T16:00:00.000Z;4.412437173724174
Avg processor CPU;2017-02-06T16:10:00.000Z;4.777234720190366
Avg processor CPU;2017-02-06T16:20:00.000Z;4.729437376062075
Avg processor CPU;2017-02-06T16:30:00.000Z;4.350184065103531
Avg processor CPU;2017-02-06T16:40:00.000Z;4.95096209247907
Avg processor CPU;2017-02-06T16:50:00.000Z;4.707759984334309
Avg processor CPU;2017-02-06T17:00:00.000Z;4.355066803097725
Avg processor CPU;2017-02-06T17:10:00.000Z;7.49084265033404
Avg processor CPU;2017-02-06T17:20:00.000Z;4.791080525517463
Avg processor CPU;2017-02-06T17:30:00.000Z;4.217072630921999
Avg processor CPU;2017-02-06T17:40:00.000Z;4.807957874735196
Avg processor CPU;2017-02-06T17:50:00.000Z;4.711695086956024
Avg processor CPU;2017-02-06T18:00:00.000Z;4.341752098997434
Avg processor CPU;2017-02-06T18:10:00.000Z;4.794095949331919
Avg processor CPU;2017-02-06T18:20:00.000Z;4.832577122251193
Avg processor CPU;2017-02-06T18:30:00.000Z;4.531403388579687
Avg processor CPU;2017-02-06T18:40:00.000Z;4.78777463833491
Avg processor CPU;2017-02-06T18:50:00.000Z;5.419914263486863
Avg processor CPU;2017-02-06T19:00:00.000Z;5.085295025507609
Avg processor CPU;2017-02-06T19:10:00.000Z;4.995313422878583
Avg processor CPU;2017-02-06T19:20:00.000Z;4.832325061162313
Avg processor CPU;2017-02-06T19:30:00.000Z;4.438356747229894
Avg processor CPU;2017-02-06T19:40:00.000Z;4.925384858250618
Avg processor CPU;2017-02-06T19:50:00.000Z;4.697750449180603
Avg processor CPU;2017-02-06T20:00:00.000Z;4.811949191490809
Avg processor CPU;2017-02-06T20:10:00.000Z;4.828443944454193
Avg processor CPU;2017-02-06T20:20:00.000Z;4.7187531858682625
Avg processor CPU;2017-02-06T20:30:00.000Z;4.22337577243646
Avg processor CPU;2017-02-06T20:40:00.000Z;4.799300832549731
Avg processor CPU;2017-02-06T20:50:00.000Z;4.6340568671623865
Avg processor CPU;2017-02-06T21:00:00.000Z;4.459514903028806
Avg processor CPU;2017-02-06T21:10:00.000Z;4.740792719523112
Avg processor CPU;2017-02-06T21:20:00.000Z;4.680927786231042
Avg processor CPU;2017-02-06T21:30:00.000Z;4.356160740057628
Avg processor CPU;2017-02-06T21:40:00.000Z;4.803341009219487
Avg processor CPU;2017-02-06T21:50:00.000Z;4.679291878143946
Avg processor CPU;2017-02-06T22:00:00.000Z;5.3770230382680895
Avg processor CPU;2017-02-06T22:10:00.000Z;5.214728032549222
Avg processor CPU;2017-02-06T22:20:00.000Z;4.813606733083725
Avg processor CPU;2017-02-06T22:30:00.000Z;4.318556491533915
